timestamp,phase,dataset,task,stage,layer_seq_index,pct,repeats,accuracy,f1,epochs,best_ckpt,fig_loss,fig_metric,mae,rmse,neuron,recovery_epoch_95p,neurons,weight_mode,neuron_index,recovery_epoch_95,recovery_epoch_105pct
20250813-133917,healing,california_housing,reg,healed_short_pair,9,1.0,1.0,,,9.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_OUTPUT_p100_r1_short_20250813-133853_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_OUTPUT_p100_r1_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_OUTPUT_p100_r1_short_RMSE.png,2.065962314605713,2.364426214120772,,,,,,,
20250813-133917,healing,california_housing,reg,healed_long_pair,9,1.0,1.0,,,31.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_OUTPUT_p100_r1_long_20250813-133858_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_OUTPUT_p100_r1_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_OUTPUT_p100_r1_long_RMSE.png,2.065962314605713,2.364426214120772,,,,,,,
20250813-135007,healing,california_housing,reg,baseline,3,0.4,10.0,,,,,,,0.374850183725357,0.5373355181330539,,,,random,,,
20250813-135007,healing,california_housing,reg,post_damage,3,0.4,10.0,,,,,,,0.8643197417259216,1.1969355615179158,,,,random,,,
20250813-135007,healing,california_housing,reg,healed_short,3,0.4,10.0,,,15.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_midWEIGHTS_random_p40_r10_short_20250813-134811_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_random_p40_r10_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_random_p40_r10_short_RMSE.png,0.4307464361190796,0.5969960674111635,,,,random,,,
20250813-135007,healing,california_housing,reg,healed_long,3,0.4,10.0,,,142.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_midWEIGHTS_random_p40_r10_long_20250813-134821_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_random_p40_r10_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_random_p40_r10_long_RMSE.png,0.37934011220932,0.5377141980375202,,,,random,,,
20250813-135155,healing,california_housing,reg,baseline,3,0.4,10.0,,,,,,,0.374850183725357,0.5373355181330539,,,,block,,,
20250813-135155,healing,california_housing,reg,post_damage,3,0.4,10.0,,,,,,,0.7827997803688049,1.1024451000358884,,,,block,,,
20250813-135155,healing,california_housing,reg,healed_short,3,0.4,10.0,,,15.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_midWEIGHTS_block_p40_r10_short_20250813-135007_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_block_p40_r10_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_block_p40_r10_short_RMSE.png,0.4012439846992492,0.5643267374535746,,,,block,,,
20250813-135155,healing,california_housing,reg,healed_long,3,0.4,10.0,,,141.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_midWEIGHTS_block_p40_r10_long_20250813-135017_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_block_p40_r10_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_midWEIGHTS_block_p40_r10_long_RMSE.png,0.3445846140384674,0.4972044608234059,,,,block,,,40.0
